Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
We Trigger the Sun	Fennesz	C.Fennesz	Agora						Electronic	21232413	628	1	1	4	4	2019	4/2/19, 8:40 PM	4/2/19, 8:40 PM	256	44100		Apple Music AAC audio file							
Surfer’s Hymn	Actress & London Contemporary Orchestra	Actress	LAGEOS						Electronic	11934556	348	1	1	6	10	2018	2/25/19, 6:20 PM	2/21/19, 11:58 AM	256	44100		Apple Music AAC audio file			4	3/14/19, 8:09 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Actress & London Contemporary Orchestra/LAGEOS/06 Surfer_s Hymn.m4p
San Simeon	The Album Leaf		Green Tour - EP						Post Rock	10933950	321	1	1	6	6	2007	2/25/19, 6:20 PM	9/18/11, 12:18 AM	256	44100		Purchased AAC audio file			5	8/3/14, 1:18 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/The Album Leaf/Green Tour - EP/06 San Simeon.m4a
Deesh	Mogwai		Rave Tapes						Alternative	11574860	333	1	1	7	9	2014	2/25/19, 6:20 PM	1/21/14, 5:21 PM	256	44100		Purchased AAC audio file			231	2/25/19, 6:21 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Mogwai/Rave Tapes/07 Deesh.m4a
Catalina 1943	Loscil		Sea Island						Ambient	13677922	394	1	1	7	11	2014	10/16/18, 12:00 PM	3/4/16, 12:20 PM	256	44100		Apple Music AAC audio file			14	3/5/19, 9:26 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Loscil/Sea Island/07 Catalina 1943.m4p
In Death Valley	Tim Hecker	Tim Hecker	Konoyo						Ambient	11889743	336	1	1	2	7	2018	9/30/18, 8:20 AM	9/30/18, 8:20 AM	256	44100		Apple Music AAC audio file			2	12/10/18, 12:15 PM			
Immediate Horizon 2	Alessandro Cortini & Lawrence English	Alessandro Cortini & Lawrence English	Immediate Horizon						Ambient	12733784	367	1	1	2	5	2018	2/25/19, 6:20 PM	2/22/19, 10:56 AM	256	44100		Apple Music AAC audio file			2	2/28/19, 8:49 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Alessandro Cortini & Lawrence English/Immediate Horizon/02 Immediate Horizon 2.m4p
Trace	Fennesz & Ryuichi Sakamoto		Cendre						Alternative	12474299	346	1	1	4	11	2007	2/25/19, 6:20 PM	7/12/15, 6:36 PM	256	44100		Apple Music AAC audio file			2	2/25/19, 6:22 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Fennesz & Ryuichi Sakamoto/Cendre/04 Trace.m4p
Dreams	Helios	Keith Kenniff	Veriditas						Ambient	9650788	279	1	1	3	12	2018	2/25/19, 6:20 PM	9/3/18, 6:57 PM	256	44100		Apple Music AAC audio file			10	4/2/19, 8:49 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Helios/Veriditas/03 Dreams.m4p
La	Nils Frahm	Nils Frahm	Screws						Classical	8570738	191			7	9		2/25/19, 6:20 PM	9/27/12, 12:06 AM	320	44100		MPEG audio file		--ignore-tag-errors	1	2/25/19, 6:23 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Nils Frahm/Screws/07 La.mp3
Avril 14th	Aphex Twin		Drukqs						Electronic	4381354	125	1	2	9	15	2001	2/25/19, 6:20 PM	11/4/11, 4:04 PM	256	44100		Matched AAC audio file			5	2/25/19, 6:25 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Aphex Twin/Drukqs/1-09 Avril 14th.m4a
