Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Avril 14th (Electronic Arrangement)	Murcof & Vanessa Wagner	Aphex Twin	Statea						Classical	10180868	294	1	1	3	9	2016	4/22/21, 3:33 PM	9/20/20, 7:24 AM	256	44100		Apple Music AAC audio file			2	4/22/21, 4:45 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Murcof & Vanessa Wagner/Statea/03 Avril 14th (Electronic Arrangement).m4p
City of Light	Fennesz		Venice						Electronic	15357514	394	1	1	3	12	2004	10/28/21, 12:43 PM	9/20/20, 11:03 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Fennesz/Venice/03 City of Light.m4p
The Dusk Pines	High Plains		Cinderland						Ambient	13133494	391	1	1	3	9	2017	10/28/21, 12:43 PM	9/20/20, 10:59 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/High Plains/Cinderland/03 The Dusk Pines.m4p
Endless Falls (feat. Kelly Wyse)	Loscil		Intervalo (feat. Kelly Wyse)						Ambient	13921700	416	1	1	1	5	2013	10/28/21, 12:43 PM	9/20/20, 7:25 AM	256	44100		Apple Music AAC audio file			4	10/21/21, 3:48 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Loscil/Intervalo (feat. Kelly Wyse)/01 Endless Falls (feat. Kelly Wyse).m4p
Over There, It's Raining	Nils Frahm	Nils Oliver Frahm	Spaces (Special Edition)						Ambient	6758422	187	1	1	9	13	2013	10/28/21, 12:43 PM	3/8/21, 1:53 PM	256	44100		Apple Music AAC audio file			1	4/11/21, 3:41 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Nils Frahm/Spaces (Special Edition)/09 Over There, It's Raining.m4p
Eutow	Autechre		Tri Repetae						Electronic	10015149	255	1	1	6	10	1995	2/1/12, 1:40 PM	2/1/12, 4:40 PM	256	44100		Purchased AAC audio file					1	10/28/21, 10:11 AM	
Infra 5	Max Richter, Louisa Fuller, Natalia Bonner, Nick Barr, Ian Burdge & Chris Worsey	Max Richter	Infra						Classical	11877083	316	1	1	10	14	2010	10/28/21, 12:43 PM	9/20/20, 10:27 AM	256	44100		Apple Music AAC audio file			1	10/28/21, 10:11 AM	1	10/28/21, 10:05 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/Infra/10 Infra 5.m4p
Mt Baker	Kaitlyn Aurelia Smith	Kaitlyn Aurelia Smith	@0						Ambient	10813706	312	1	1	10	29		10/28/21, 12:43 PM	10/28/21, 12:43 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Compilations/@0/10 Mt Baker.m4p
Weather on the Fen	K. Leimer	K. Leimer	Irrational Overcast						Electronic	14443779	422	1	1	3	7	2019	10/28/21, 12:43 PM	10/28/21, 12:43 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/K. Leimer/Irrational Overcast/03 Weather on the Fen.m4p
Coast	Christopher Willits	Christopher Willits	Sunset						Ambient	13275729	373	1	1	2	5	2019	10/28/21, 12:43 PM	10/28/21, 10:43 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Christopher Willits/Sunset/02 Coast.m4p
Drift	Brian Eno		Apollo: Atmospheres and Soundtracks						Ambient	6750113	189	1	1	7	12	1983	10/28/21, 12:43 PM	3/14/21, 6:29 PM	256	44100		Apple Music AAC audio file			1	3/14/21, 6:55 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Brian Eno, Daniel Lanois & Roger Eno/Apollo_ Atmospheres and Soundtracks/07 Drift.m4p
